customer_id,Customer Name,Gender,Annual Income,Phone
1,Geraldine,Male,13500,8264678
2,Gia,Male,1480000,6848189
3,Gianna,Male,1035000,7298798
4,Giselle,Male,13500,6257557
5,Grace,Male,1465000,7081483
6,Guadalupe,Male,850000,7315216
7,Hailey,Male,1600000,7727879
8,Graham,Male,13500,6206512
9,Naomi,Male,815000,7194857
10,Grayson,Female,13500,7836892
11,Gregory,Male,13500,7995489
12,Amar'E,Male,13500,7288103
13,Griffin,Male,885000,6842408
14,Harrison,Male,13500,7558767
15,Zainab,Male,722000,7677191
16,Zara,Male,746000,8431908
17,Zoe,Female,535000,7814646
18,Zoey,Female,570000,7456650
19,Aaliyah,Male,685000,7627010
20,Abigail,Male,455000,6736704
21,Adrianna,Male,13500,7889827
22,Joshua,Male,2500000,6183219
23,Marcus,Male,585000,8097778
24,Arthur,Male,920000,7959858
25,Lizzie,Male,672000,8570849
26,Florian,Male,801250,8520534
27,Cassandre,Female,820000,6362556
28,Syrielle,Male,791000,6281210
29,Sloane,Male,13500,6292720
30,Sofia,Male,1020000,7698986
31,Sophia,Male,210000,8847858
32,Sophie,Male,750000,8344679
33,Stella,Male,635000,6827044
34,Suri,Male,675000,7954038
35,Sury,Male,880000,7400390
36,Haley,Male,13500,7153628
37,Hannah,Male,13500,6125796
38,Haylee,Male,13500,7438037
39,Hayley,Male,941000,6837588
40,Harry,Female,13500,7213857
41,Henry,Male,13500,7704004
42,Hersh,Female,13500,8018700
43,Hershel,Male,967500,6793858
44,Aicha,Male,600000,6739543
45,Aisha,Male,575000,6091237
46,Aissatou,Male,566000,6547535
47,Alana,Male,1250000,8689761
48,Chloe,Male,730000,6404807
49,Valentine,Male,4060000,7117432
50,Aurore,Male,13500,7836930
51,Nikita,Male,1180000,7316398
52,Justine,Male,1360000,7680267
53,Sylvia,Female,640000,6402878
54,Chloe,Male,615000,7890478
55,Tamar,Male,520000,8523869
56,Hazel,Male,1876000,8852693
57,Heaven,Male,13500,6444851
58,Heidi,Male,13500,6052630
59,Hershy,Male,890000,8939776
60,Hudson,Male,1800000,7177888
61,Amare,Male,1330000,6139882
62,Alexandria,Male,393000,7181009
63,Alexis,Male,440000,7936565
64,Alyssa,Female,280000,7419754
65,Coline,Male,1151000,8637804
66,Annaelle,Male,1650000,8380613
67,Anais,Male,13500,6595676
68,Taylor,Male,895000,7244029
69,Tessa,Female,660000,6741165
70,Toby,Male,13500,8822935
71,Heidy,Male,1636000,8026457
72,Helen,Female,1000000,8872334
73,Imani,Female,745000,6204993
74,Ingrid,Male,300000,7031644
75,Irene,Male,1097000,7179280
76,Iris,Female,542000,6245275
77,Hunter,Male,1200000,7072635
78,James,Male,490000,6766211
79,Ilan,Male,410000,8011357
80,Isaac,Male,930000,7539127
81,Aaron,Male,480000,6559063
82,Israel,Female,1360000,8082987
83,Amara,Male,2200000,7328070
84,Amaya,Female,1100000,7078803
85,Amelia,Male,13500,8636283
86,Amia,Male,1700000,7109521
87,Amina,Male,1908000,7305344
88,Aminata,Male,13500,8941079
89,Alizee,Male,13500,6136111
90,Caroline,Male,2550000,8001444
91,Wadia,Male,1245000,7696195
92,Mauricio,Male,13500,8188037
93,Maximilian,Male,1115000,8351089
94,Elisa,Male,13500,6130679
95,Tzipora,Male,2110000,6260413
96,Tziporah,Female,13500,8750989
97,Tzippy,Male,1050000,6784534
98,Tzivia,Male,13500,7944735
99,Valentina,Female,13500,8099375
100,Valerie,Male,320000,6641303
101,Isabel,Male,13500,8158584
102,Isabela,Female,760000,7159142
103,Ivan,Male,1390000,7495544
104,Abel,Male,659000,6682438
105,Amira,Male,1330000,7189696
106,Amirah,Male,13500,8844816
107,Mathias,Female,13500,8002612
108,Noel,Male,1362000,6633882
109,Vanessa,Male,480000,8884667
110,Vera,Female,365000,6759578
111,Isabella,Female,481000,6376331
112,Isabelle,Male,700000,6729016
113,Isis,Male,1350000,7270473
114,Itzel,Male,750000,7281617
115,Yadiel,Male,451000,7824922
116,Joseph,Female,650000,8944331
117,Jake,Male,700000,7757499
118,James,Female,13500,6586288
119,Amiya,Female,1220000,8486170
120,Amiyah,Male,1300000,6732905
121,Angelina,Male,470000,7212279
122,Aniya,Female,1167500,8144887
123,Benott,Male,3000000,8668755
124,Lucas,Male,1900000,8892301
125,Clara,Female,1690000,6238423
126,Clara,Male,2800000,7552575
127,Alexis,Male,642000,6278363
128,Veronika,Female,705000,6323753
129,Victoria,Male,670000,8368721
130,Violet,Male,13500,6328688
131,Izabella,Female,1985000,6553517
132,Jason,Male,1275000,8070819
133,Aniyah,Male,13500,7541816
134,Elise,Male,1650000,8368460
135,Vivian,Male,520500,7578367
136,Jacqueline,Female,500000,6435654
137,Jada,Male,1172500,7906708
138,Jade,Male,441000,6536878
139,Jaelynn,Male,1310000,6374244
140,Jamie,Male,13500,6500188
141,Janelle,Male,1200000,8574162
142,Jasper,Male,1680000,6655590
143,Jayden,Male,1340000,6691774
144,Jesse,Female,901000,7264601
145,Joel,Female,849500,7583887
146,John,Male,13500,8687698
147,Jonah,Female,1071500,7808972
148,Annabelle,Male,1740000,6099473
149,Aria,Male,13500,8406767
150,Ariana,Male,1700000,7946702
151,Arianna,Male,1100000,6420448
152,Ariel,Male,13500,7232005
153,Arielle,Male,2155000,7622532
154,Louane,Male,13500,7398647
155,Nina,Male,13500,7387235
156,Laurine,Male,661000,8931658
157,Noah,Female,13500,7887874
158,Arthur,Male,13500,8238020
159,Romain,Male,2750000,6735346
160,Vivienne,Male,13500,6859342
161,Gurdeniz,Male,13500,7891679
162,Anais,Female,13500,8493769
163,Yael,Male,950000,8239781
164,Yasmine,Female,715000,6539980
165,Matheo,Female,13500,6815074
166,Jaslene,Female,847000,8431840
167,Jasmin,Female,13500,8808261
168,Jasmine,Male,1176500,8193979
169,Jayda,Male,955000,6422078
170,Jonathan,Male,800000,7960177
171,Jordan,Male,13500,6642461
172,Joseph,Female,13500,7781272
173,Allison,Male,626800,6438030
174,Ashley,Male,2115000,7063414
175,Aubree,Male,2810000,7033838
176,Aubrey,Male,13500,8626515
177,Autumn,Male,13500,8692179
178,Victor,Male,1589000,8280131
179,Ludivine,Male,1385000,6775570
180,Anais,Male,2000000,8957521
181,Luckas,Male,951000,6492064
182,Victor,Male,1390000,6729766
183,Yitty,Male,2320000,8827586
184,Yocheved,Female,2752000,8378577
185,Zissy,Male,655000,6300537
186,Jayla,Male,890000,7658357
187,Jaylah,Male,1330000,7154079
188,Jayleen,Male,13500,7160297
189,Jaylene,Male,900000,8063218
190,Judah,Male,570000,8641482
191,Jude,Male,715000,6554530
192,Julian,Female,630000,6440545
193,Justin,Female,700500,7293423
194,Ava,Male,2130000,6687979
195,Avery,Male,13500,8525846
196,Bella,Male,2950000,6436923
197,Blessing,Male,2150000,7273916
198,Angele,Female,1700000,8283096
199,Mathis,Male,13500,6784925
200,Evann,Male,1540000,7826082
201,Gael,Male,1300000,6471180
202,Zoe,Male,960000,8928940
203,Zoey,Male,13500,7428074
204,Aarav,Male,1810000,8948624
205,Mathis,Male,1130000,7941618
206,Jaylin,Male,1090000,7356041
207,Jaylyn,Male,500000,8854864
208,Kacper,Female,1700000,6668924
209,Kai,Male,860000,7296907
210,Brianna,Male,13500,7555872
211,Brielle,Male,2035000,6327935
212,Hugo,Male,1372500,6171876
213,Kassandra,Male,1800000,8997806
214,Abdul,Male,1250000,7104776
215,Abdullah,Male,1175000,8210697
216,Jazlyn,Male,1100000,8717945
217,Jazmin,Male,1315000,6719698
218,Jazmine,Female,480000,8884589
219,Jennifer,Female,423500,7091817
220,Jessica,Female,13500,6053967
221,Kenneth,Male,13500,7755205
222,Kevin,Male,653000,6075959
223,Kieran,Male,13500,6579013
224,Kyle,Male,2862000,6175694
225,Landon,Male,2180000,7778542
226,Brooke,Male,13500,8652954
227,Brooklyn,Male,1500000,8165932
228,Cali,Male,1190000,8439749
229,Chanel,Female,920000,6548543
230,Charlotte,Male,320000,7638367
231,Oliver,Male,690000,6042502
232,Owen,Male,13500,7856638
